cardId,name,cardSet,type,rarity,mechanics_list,mechanics_count,playerClass,faction,cost,health,attack,collectible,race,artist,text,flavor,locale
GAME_004,AFK,Basic,Enchantment,,None,0,Neutral,,,,,,,,Your turns are shorter.,,enUS
CS2_041e,Ancestral Infusion,Basic,Enchantment,,Taunt,1,Shaman,,,,,,,,Taunt.,,enUS
HERO_09,Anduin Wrynn,Basic,Hero,Free,None,0,Priest,Neutral,,30,,True,,,,,enUS
EX1_399e,Berserking,Basic,Enchantment,,None,0,Neutral,,,,,,,,This minion has increased Attack.,,enUS
CS2_092e,Blessing of Kings,Basic,Enchantment,,None,0,Paladin,,,,,,,,+4/+4.,,enUS
CS2_087e,Blessing of Might,Basic,Enchantment,,None,0,Paladin,Neutral,,,,,,,+3 Attack.,,enUS
CS2_046e,Bloodlust,Basic,Enchantment,,OneTurnEffect,1,Shaman,,,,,,,,+3 Attack this turn.,,enUS
EX1_084e,Charge,Basic,Enchantment,,None,0,Warrior,,,,,,,,Warsong Commander is granting this minion +1 Attack.,,enUS
DS1_178e,Charge,Basic,Enchantment,,None,0,Hunter,,,,,,,,{0} grants <b>Charge</b>.,,enUS
CS2_103e2,Charge,Basic,Enchantment,,None,0,Warrior,,,,,,,,Has <b>Charge</b>.,,enUS
CS2_005o,Claw,Basic,Enchantment,,OneTurnEffect,1,Druid,,,,,,,,+2 Attack this turn.,,enUS
CS2_017o,Claws,Basic,Enchantment,,OneTurnEffect,1,Druid,,,,,,,,Your hero has +1 Attack this turn.,,enUS
EX1_019e,Cleric's Blessing,Basic,Enchantment,,None,0,Priest,,,,,,,,+1/+1.,,enUS
GAME_003,Coin's Vengeance,Basic,Enchantment,,None,0,Neutral,,,,,,,,Going second makes your first minion stronger.,,enUS
GAME_003e,Coin's Vengence,Basic,Enchantment,,None,0,Neutral,,,,,,,,Going second makes your first minion stronger.,,enUS
CS2_063e,Corruption,Basic,Enchantment,,None,0,Warlock,,,,,,,,"At the start of the corrupting player's turn, destroy this minion.",,enUS
GBL_003e,Cost - 1,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (1) less.,,enUS
GBL_002e,Cost - 2,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (2) less.,,enUS
GBL_004e,Cost - 3,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (3) less.,,enUS
GBL_008e,Cost - 4,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (4) less.,,enUS
GBL_005e,Cost + 2,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (2) more.,,enUS
GBL_009e,Cost = 0,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (0).,,enUS
GBL_001e,Cost = 1,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (1).,,enUS
GBL_007e,Cost = 10,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (10).,,enUS
GBL_006e,Cost = 2,Basic,Enchantment,,None,0,Neutral,,,,,,,,Costs (2).,,enUS
BCON_001e,Deadeye,Basic,Enchantment,,None,0,Neutral,,,,,,,,Your Hero Power can target minions.,,enUS
CS2_074e,Deadly Poison,Basic,Enchantment,,None,0,Neutral,,,,,,,,+2 Attack.,,enUS
CS2_236e,Divine Spirit,Basic,Enchantment,,None,0,Priest,,,,,,,,This minion has double Health.,,enUS
CS2_122e,Enhanced,Basic,Enchantment,,None,0,Neutral,,,,,,,,Raid Leader is granting this minion +1 Attack.,,enUS
NEW1_033o,Eye In The Sky,Basic,Enchantment,,None,0,Hunter,,,,,,,,Leokk is granting this minion +1 Attack.,,enUS
EX1_565o,Flametongue,Basic,Enchantment,,None,0,Shaman,,,,,,,,+2 Attack from Flametongue Totem.,,enUS
hexfrog,Frog,Basic,Minion,Common,Taunt,1,Neutral,Neutral,,1,0,,Beast,,<b>Taunt</b>,,enUS
CS2_226e,Frostwolf Banner,Basic,Enchantment,,None,0,Neutral,,,,,,,,Increased stats.,,enUS
DS1_175o,Furious Howl,Basic,Enchantment,,None,0,Hunter,,,,,,,,+1 Attack from {0}.,,enUS
HERO_01,Garrosh Hellscream,Basic,Hero,Free,None,0,Warrior,Neutral,,30,,True,,,,,enUS
HERO_07,Gul'dan,Basic,Hero,Free,None,0,Warlock,Neutral,,30,,True,,,,,enUS
CS2_105e,Heroic Strike,Basic,Enchantment,,OneTurnEffect,1,Warrior,,,,,,,,+4 Attack this turn.,,enUS
EX1_246e,Hexxed,Basic,Enchantment,,Morph,1,Shaman,,,,,,,,This minion has been transformed!,,enUS
EX1_360e,Humility,Basic,Enchantment,,None,0,Paladin,Neutral,,,,,,,Attack has been changed to 1.,,enUS
CS2_084e,Hunter's Mark,Basic,Enchantment,,None,0,Hunter,,,,,,,,This minion has 1 Health.,,enUS
HERO_08,Jaina Proudmoore,Basic,Hero,Free,None,0,Mage,Neutral,,30,,True,,,,,enUS
GAME_001,Luck of the Coin,Basic,Enchantment,,None,0,Neutral,,,,,,,,Going second grants you increased Health.,,enUS
HERO_06,Malfurion Stormrage,Basic,Hero,Free,None,0,Druid,Neutral,,30,,True,,,,,enUS
CS2_009e,Mark of the Wild,Basic,Enchantment,,None,0,Druid,,,,,,,,+2/+2 and <b>Taunt</b>.,,enUS
DS1_070o,Master's Presence,Basic,Enchantment,,None,0,Hunter,,,,,,,,+2/+2 and <b>Taunt</b>.,,enUS
CS2_222o,Might of Stormwind,Basic,Enchantment,,None,0,Neutral,,,,,,,,Has +1/+1.,,enUS
EX1_508o,Mlarggragllabl!,Basic,Enchantment,,None,0,Neutral,,,,,,,,This Murloc has +1 Attack.,,enUS
BCON_008e,Nature's Champion,Basic,Enchantment,,None,0,Neutral,,,,,,,,+5/+5.,,enUS
CS2_022e,Polymorph,Basic,Enchantment,Common,Morph,1,Mage,Neutral,,,,,,,This minion has been transformed into a 1/1 Sheep.,,enUS
CS2_004e,Power Word: Shield,Basic,Enchantment,,None,0,Priest,,,,,,,,+2 Health.,,enUS
HERO_05,Rexxar,Basic,Hero,Free,None,0,Hunter,Neutral,,30,,True,,,,,enUS
CS2_045e,Rockbiter Weapon,Basic,Enchantment,,OneTurnEffect,1,Shaman,,,,,,,,This character has +3 Attack this turn.,,enUS
CS2_011o,Savage Roar,Basic,Enchantment,,OneTurnEffect,1,Druid,,,,,,,,+2 Attack this turn.,,enUS
CS2_083e,Sharpened,Basic,Enchantment,,OneTurnEffect,1,Rogue,,,,,,,,+1 Attack this turn.,,enUS
BCON_016e,Smoke Bombed,Basic,Enchantment,,None,0,Rogue,,,,,,,,Stealthed until your next turn.,,enUS
GAME_005e,The Coin,Basic,Enchantment,,None,0,Neutral,,,,,,,,,,enUS
HERO_02,Thrall,Basic,Hero,Free,None,0,Shaman,Neutral,,30,,True,,,,,enUS
EX1_244e,Totemic Might,Basic,Enchantment,,None,0,Shaman,,,,,,,,+2 Health.,,enUS
GAME_011,Tournament Short Turn,Basic,Enchantment,,None,0,Neutral,,,,,,,,Your turns are shorter.,,enUS
HERO_04,Uther Lightbringer,Basic,Hero,Free,None,0,Paladin,Neutral,,30,,True,,,,,enUS
HERO_03,Valeera Sanguinar,Basic,Hero,Free,None,0,Rogue,Neutral,,30,,True,,,,,enUS
CS2_041,Ancestral Healing,Basic,Spell,Free,Taunt,1,Shaman,Neutral,0,,,True,,Dan Scott,Restore a minion\nto full Health and\ngive it <b>Taunt</b>.,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",enUS
GAME_002,Avatar of the Coin,Basic,Minion,Free,None,0,Neutral,,0,1,1,,,,"<i>You lost the coin flip, but gained a friend.</i>",,enUS
CS2_072,Backstab,Basic,Spell,Free,None,0,Rogue,Neutral,0,,,True,,Michael Sutfin,Deal $2 damage to an undamaged minion.,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.",enUS
BCON_024,Bottled Madness,Basic,Spell,Free,None,0,Warlock,,0,,,,,,Replace your hand with random Demons.,,enUS
BCON_021,Crackling Doom,Basic,Spell,Free,Overload,1,Shaman,,0,,,,,,Deal $12 damage to all_minions.\n<b>Overload</b>: (10),,enUS
CS2_013t,Excess Mana,Basic,Spell,,None,0,Druid,,0,,,,,,Draw a card. <i>(You can only have 10 Mana in your tray.)</i>,,enUS
DFX_001,Fast Spawn to Deck Dummy FX,Basic,Spell,,None,0,Neutral,,0,,,,,,Holds the FX for inserting a card into a deck quickly.,,enUS
DFX_005,Flamestrike Dummy FX,Basic,Spell,,None,0,Neutral,,0,,,,,,Holds the FX for playing Flamestrike FX.,,enUS
DFX_003,Frost Nova Dummy FX,Basic,Spell,,None,0,Neutral,,0,,,,,,Holds the FX for playing Frost Nova FX.,,enUS
DFX_004,Holy Healing Dummy FX,Basic,Spell,,None,0,Neutral,,0,,,,,,Holds the FX for playing Holy Healing FX.,,enUS
EX1_169,Innervate,Basic,Spell,Free,None,0,Druid,Neutral,0,,,True,,Doug Alexander,Gain 1 Mana Crystal this turn only.,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.",enUS
CS2_mirror,Mirror Image,Basic,Minion,Common,Taunt,1,Mage,Neutral,0,2,0,,,,<b>Taunt</b>,,enUS
CS2_008,Moonfire,Basic,Spell,Free,None,0,Druid,Neutral,0,,,True,,Richard Wright,Deal $1 damage.,"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3",enUS
NEW1_003,Sacrificial Pact,Basic,Spell,Free,None,0,Warlock,,0,,,True,,Jim Nelson,Destroy a Demon. Restore #5 Health to your hero.,This is the reason that Demons never really become friends with Warlocks.,enUS
GAME_005,The Coin,Basic,Spell,,None,0,Neutral,,0,,,,,,Gain 1 Mana Crystal this turn only.,,enUS
DFX_002,Time Warp Dummy FX,Basic,Spell,,None,0,Neutral,,0,,,,,,Holds the FX for playing Timewarp FX.,,enUS
EX1_244,Totemic Might,Basic,Spell,Free,None,0,Shaman,Neutral,0,,,True,,Trent Kaniuga,Give your Totems +2_Health.,Totem-stomping is no longer recommended.,enUS
EX1_277,Arcane Missiles,Basic,Spell,Free,ImmuneToSpellpower,1,Mage,Neutral,1,,,True,,Warren Mahy,Deal $3 damage randomly split among all enemies.,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.,enUS
DS1_185,Arcane Shot,Basic,Spell,Free,None,0,Hunter,Neutral,1,,,True,,Luca Zontini,Deal $2 damage.,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.",enUS
CS2_087,Blessing of Might,Basic,Spell,Free,None,0,Paladin,Neutral,1,,,True,,Zoltan Boros,Give a minion +3_Attack.,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",enUS
CS2_boar,Boar,Basic,Minion,Common,None,0,Neutral,Neutral,1,1,1,,Beast,,,,enUS
CS2_103,Charge,Basic,Spell,Free,Charge,1,Warrior,Neutral,1,,,True,,Alex Horley Orlandelli,Give a friendly minion <b>Charge</b>. It can't attack heroes this turn.,"""Guys! Guys! Slow down!"" - some kind of non-warrior minion",enUS
CS2_005,Claw,Basic,Spell,Free,None,0,Druid,Neutral,1,,,True,,Dany Orizio,Give your hero +2_Attack this turn. Gain 2 Armor.,The claw decides who will stay and who will go.,enUS
CS2_063,Corruption,Basic,Spell,Free,None,0,Warlock,Neutral,1,,,True,,Wayne Reynolds,"Choose an enemy minion. At the start of your turn, destroy it.","It starts with stealing a pen from work, and before you know it, BOOOM!  Corrupted!",enUS
CS2_074,Deadly Poison,Basic,Spell,Free,None,0,Rogue,Neutral,1,,,True,,Trevor Jacobs,Give your weapon +2_Attack.,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.",enUS
CS2_189,Elven Archer,Basic,Minion,Free,Battlecry,1,Neutral,Horde,1,1,1,True,,Steve Prescott,<b>Battlecry:</b> Deal 1 damage.,Don't bother asking her out on a date.  She'll shoot you down.,enUS
